,Brand,Processor,RAM,Storage,GPU,ScreenSize,Resolution,BatteryLife,Weight,Operating System,Price,ProcessorBrand,GPUBrand,GPU_Model,GPUreleaseYear
1,Razer,AMD Ryzen 7,4,1TB SSD,Nvidia RTX 3080,14.0,1366x768,9.4,2.57,Linux,1355.78,AMD,Nvidia,RTX 3080,2020
2,Asus,Intel i5,32,2TB SSD,Nvidia RTX 3060,13.3,3840x2160,8.5,1.74,FreeDOS,2673.07,Intel,Nvidia,RTX 3060,2021
3,Lenovo,Intel i5,4,256GB SSD,Nvidia RTX 3080,13.3,1366x768,10.5,3.1,Windows,751.17,Intel,Nvidia,RTX 3080,2020
4,Razer,Intel i3,4,256GB SSD,AMD Radeon RX 6600,16.0,3840x2160,5.7,3.38,Linux,2059.83,Intel,AMD Radeon,RX 6600,2021
5,Acer,AMD Ryzen 3,64,2TB SSD,Nvidia RTX 3060,14.0,1366x768,7.1,1.85,Linux,1676.64,AMD,Nvidia,RTX 3060,2021
6,Dell,Intel i5,8,1TB SSD,Nvidia RTX 2060,15.6,2560x1440,9.1,1.98,Windows,1449.05,Intel,Nvidia,RTX 2060,2019
7,Microsoft,AMD Ryzen 9,8,1TB SSD,Nvidia RTX 3080,17.3,2560x1440,9.8,1.26,Linux,2193.55,AMD,Nvidia,RTX 3080,2020
9,HP,AMD Ryzen 5,4,1TB SSD,AMD Radeon RX 6800,14.0,3840x2160,7.5,2.19,FreeDOS,1556.72,AMD,AMD Radeon,RX 6800,2020
10,Razer,Intel i9,8,256GB SSD,Nvidia GTX 1650,16.0,1366x768,6.4,2.53,Windows,2044.38,Intel,Nvidia,GTX 1650,2019
11,Razer,Intel i5,32,1TB HDD,AMD Radeon RX 6800,16.0,1920x1080,8.3,1.21,Windows,2032.69,Intel,AMD Radeon,RX 6800,2020
12,Lenovo,Intel i5,4,256GB SSD,Nvidia RTX 2060,16.0,3840x2160,9.3,2.97,Windows,1770.05,Intel,Nvidia,RTX 2060,2019
13,Acer,AMD Ryzen 3,16,512GB SSD,Integrated,15.6,1920x1080,10.9,2.02,Windows,629.96,AMD,Integrata,,2020
14,Samsung,Intel i3,32,256GB SSD,Nvidia RTX 3060,15.6,2560x1440,11.8,2.95,macOS,1909.02,Intel,Nvidia,RTX 3060,2021
15,MSI,Intel i7,8,512GB SSD,Nvidia,13.3,1920x1080,7.8,3.34,macOS,982.19,Intel,Nvidia,,2021
16,Razer,AMD Ryzen 3,16,1TB SSD,Nvidia RTX 3080,17.3,3840x2160,11.6,3.11,macOS,2413.0,AMD,Nvidia,RTX 3080,2020
17,Microsoft,AMD Ryzen 9,4,2TB SSD,AMD Radeon RX 6800,17.3,1920x1080,8.3,1.48,Linux,1585.6,AMD,AMD Radeon,RX 6800,2020
18,Razer,Intel i5,32,512GB SSD,Nvidia GTX 1650,14.0,1920x1080,10.0,3.4,FreeDOS,2191.16,Intel,Nvidia,GTX 1650,2019
19,HP,AMD Ryzen 9,16,2TB SSD,Nvidia RTX 3060,16.0,1366x768,7.2,2.17,FreeDOS,1778.84,AMD,Nvidia,RTX 3060,2021
